"a";"b";"c";"d";"answer";"question";"subject_id"
"Super controlled loop constructs";"Case sensitivity check";"Validation constructs";"All of the mentioned";"D";"The development environment offers which standard construct for data validation";4
"Create linkage between client side and server side";"Permit server side, JavaScript code, to connect to RDBMS";"Support only non relational database";"To interpret JavaScript code";"B";"The main purpose of a “Live Wire in NetScape is to""""";4
"head";"head and body";"title and head";"all of the mentioned";"B";"The script tag must be placed in";4
"will throw errors and exceptions";"must be restricted to a Unix Machine only";"will work perfectly well on a Windows Machine";"will be displayed as a JavaScript text on the browser";"C";"A JavaScript program developed on a Unix Machine";4
"make computations in HTML simpler";"minimize storage requirements on the web server";"increase the download time for the client";"none of the mentioned";"B";"JavaScript is ideal to";4
"00";"0x";"0X";"Both 0x and 0X";"";"A hexadecimal literal begins with";4
"Prints an exception error";"Prints an overflow error";"Displays “Infinity""""";"Prints the value as such";"C";"When there is an indefinite or an infinity value during an arithmetic value computation, javascript";4
"[digits][.digits][(E|e)[(+|-)]digits]";"[digits][+digits][(E|e)[(+|-)]digits]";"[digits][(E|e)[(+|-)]digits]";"[.digits][digits][(E|e)[(+|-)]digits]";"A";"The generalised syntax for a real number representation is";4
"Volatile variable";"Mutable variable";"Immutable variable";"Dynamic variable";"B";"The type of a variable that is volatile is";4
"RMI";"Triggering Event";"Preprocessor";"Function/Method";"D";"JavaScript Code can be called by using";4
"Updation, Incrementation, Initialization";"Initialization,Testing, Updation";"Testing, Updation, Testing";"Initialization,Testing, Incrementation";"B";"What are the three important manipulations done in a for loop on a loop variable?";4
"No, this will throw an exception as only numerics can be used in a for loop";"No, this will not iterate";"Yes, this will work";"No, this will result in a runtime error with the message “Cannot use Linked List""""";"C";"Consider the following code snippet
function tail(o) 
{ 
    for (; o.next; o = o.next) ;
    return o;
}
Will the above code snippet work? If not, what will be the error?";4
"The property will be stored in a cache";"The loop will not run";"That property will not be enumerated";"All of the mentioned";"C";"What will happen if the body of a for/in loop deletes a property that has not yet been enumerated?";4
"Before each iteration, the interpreter evaluates the variable expression and assigns the name of the property";"The iterations can be infinite when an interpreter is used";"The body of the loop is executed only once";"All of the mentioned";"A";"One of the special feature of an interpreter in reference with the for loop is that";4
"Prints the numbers in the array in order";"Prints the numbers in the array in the reverse order";"Prints 0 to the length of the array";"Prints “Empty Array""""";"A";"Consider the following code snippet
function printArray(a) 
{
     var len = a.length, i = 0;
     if (len == 0)
        console.log(Empty Array"")""";4
"Both a and b are equal in value, type and reference address";"Both a and b are equal in value";"Both a and b are equal in value and type";"There is no such statement";"C";"The statement a===b refers to";4
"Syntax error";"Missing of semicolons";"Division by zero";"All of the mentioned";"C";"Which of the following is not considered as an error in JavaScript?";4
"Floating numbers";"Representation of functions that returns a value";"f is not present in JavaScript";"Form feed";"D";"The escape sequence ‘f’ stands for";4
"if(a!=null)";"if (!a)";"if(a!null)";"if(a!==null)";"D";"The snippet that has to be used to check if “a is not equal to “null"" is""""""";4
"false.toString()";"String(false)";"String newvariable=false""""""""";"Both false.toString() and String(false)";"D";"Assume that we have to convert “false that is a non-string to string. The command that we use is (without invoking the “new"" operator)""""""";4
"RMI";"Triggering Event";"Preprocessor";"Function/Method";"D";"JavaScript Code can be called by using";4
"directly into JS file and included into HTML";"directly on the server page";"directly into HTML pages";"all of the mentioned";"A";"JavaScript can be written";4
"src";"ext";"script";"link";"A";"Which of the following Attribute is used to include External JS code inside your HTML Document";4
